"text","username","url","tweet_id","likes","replies","retweets"
"There is a campaign to boycott McDonald’s for supporting Israel in some way. I heard McDonald’s were handing out food to IDF soldiers recently. 
That campaign doesn’t encourage people to express hate for McD’s customers as far as I know. I avoid it because I don’t like the food.","@KarinKMacDee","https://twitter.com/KarinKMacDee/status/1721504983776915593","1721504983776915593","1","0","0"
"In fast food news, I’ve decided to boycott McDonald’s burgers as apparently 25% of their meat comes from endangered species. 
So, no more Quarter Pandas for me!
 🐼🍔☺️","@BigBearF1","https://twitter.com/BigBearF1/status/1721480970228920454","1721480970228920454","54","4","2"
"yeah you should boycott McDonald and coke what is the problem","@ahmedma80198515","https://twitter.com/ahmedma80198515/status/1721488032690254070","1721488032690254070","1","0","0"
"How addicted to trash do you have to be to not be able to boycott McDonald's","@_abdurrahmaan_","https://twitter.com/_abdurrahmaan_/status/1720410859153854513","1720410859153854513","590","3","163"
"Lol at this mujeet please saaaar boycott McDonald’s please saaar. Meanwhile laptop and phone using Israeli and Chinese tech.","@rakeshp93001401","https://twitter.com/rakeshp93001401/status/1721466469056159956","1721466469056159956","1","0","0"
"don’t forget to boycott!!

MCDONALD’S STARBUCKS DISNEY

get fast food n from somewhere else!! make ur coffee at home today!! cancel ur disney+ subscription!","@shiginope","https://twitter.com/shiginope/status/1718959612068528500","1718959612068528500","21187","1","12320"
"What if we boycott McDonald's worldwide for Japan to make more of these like we're children","@HotFlakesN7","https://twitter.com/HotFlakesN7/status/1721436193664176140","1721436193664176140","1","0","0"
"Start with one at a time
Boycott McDonald's and Starbucks!","@sabzlatif8","https://twitter.com/sabzlatif8/status/1721275741722022146","1721275741722022146","2","1","0"
"I’ve decided to boycott McDonald’s burgers as apparently 25% of their meat comes from endangered species ... no more Quarter Pandas for me!","@NCHammer76","https://twitter.com/NCHammer76/status/1721424373486178319","1721424373486178319","0","0","0"
"Apartheid SA 1948-1990
Rhodesia 1964-1979
French Algeria 1830-1962
Israel 1948-? 

Americans have been blind to Israel. But no more. No more colonialism,  apartheid, and genocide anywhere. 

Boycott McDonald’s, Starbucks, Disney. Vote politicians who are not sponsored by AIPAC.","@winogrand1234","https://twitter.com/winogrand1234/status/1720073961340321794","1720073961340321794","9","1","4"
"Boycott McDonald's","@SaidurSajin","https://twitter.com/SaidurSajin/status/1721407025161355408","1721407025161355408","1","0","0"
