"username","tweet_id","text","url","replies","likes","retweets"
"@tvOneNews","1721384538071515535","Seruan boikot mencuat, McDonald’s Indonesia akan kirim bantuan kemanusiaan untuk Palestina.  Restoran cepat saji ini mendapatkan seruan boikot karena diduga mendukung Israel. Imbasnya, seruan boikot McDonald’s pun mencuat di media sosial. Tidak hanya di Indonesia, tapi juga di negara-negara lainnya. 

Terkait hal ini, McDonald’s Indonesia pun buka suara. Melansir situs resminya mcdonalds.co.id, McDonald’s Indonesia menyatakan prihatin atas eskalasi konflik di Gaza, Palestina. “Kesedihan ini dirasakan oleh segenap Direksi dan karyawan PT Rekso Nasional Food. Sebagai pemegang waralaba dan pengembang merek McDonald’s di Indonesia, kami memiliki komitmen kuat terhadap nilai-nilai kemanusiaan,” demikian keterangan resminya, Minggu (5/11/2023). 

“Kami ingin mendukung upaya dari berbagai pihak termasuk pemerintah Indonesia dan akan memberikan bantuan kemanusiaan kepada para korban di Gaza, Palestina. Bantuan ini akan kami salurkan melalui organisasi sosial yang responsif dalam menangani para korban,” sambungnya.

Simak berita selengkapnya hanya di bitly.ws/ZwBQ
#HardNews_BreakingNews #NewsOne #CariBeritaditvOne #McDonalds #SeruanBoikot #BantuanKemanusiaan #Palestina #Israel #Gaza #IsraelvsPalestina","https://twitter.com/tvOneNews/status/1721384538071515535","153","201","38"
"@sales_yakult","1721401378042687572","btw terima kasih untuk bantuannya PT. Rekso Nasional Food, tp maaf udah ke framing duluan kasih bantuan cuman buat perbaiki nama brand","https://twitter.com/sales_yakult/status/1721401378042687572","0","39","1"
"@eindro76","1721442796413079652","maaf Saudara2ku di Palestine, hny dg cara boycot aku bisa membantumu...","https://twitter.com/eindro76/status/1721442796413079652","0","16","1"
"@Gertak360","1721410943715049665","Ini hanya pengalihan isu
Trik diskon itu hanya pemikat pelanggan

Boycot Mekdi, beralih ke makanan lokal
Ini bentuk perjuangan, biar kecil tapi keberpihakan menentukan posisi kita kelak","https://twitter.com/Gertak360/status/1721410943715049665","2","46","3"
"@PrabuSantoso1","1721412177800974683","Lanjut boikot 
Walau mengirim bantuan ke Palestina
Itu hanya untuk meredam saja. 
Jangan tertipu akal bulus Sekutu zionis.","https://twitter.com/PrabuSantoso1/status/1721412177800974683","0","45","1"
"@ballambinlove","1721392026061815970","Barusan dari Arion mal, mau pulang lewat gerai McD, gak ada yg duduk makan, cuma karyawannya yg terlihat lalu lalang, keseringan makan McD bosan juga kali","https://twitter.com/ballambinlove/status/1721392026061815970","0","43","0"
"@AlbahriPangkep","1721391292293525924","Misal 10.000 ke Israil, maka Palestina 100 rupiah, untuk cari muka, selamatkan bisnis","https://twitter.com/AlbahriPangkep/status/1721391292293525924","0","57","1"
"@jysoul93","1721391016203481154","Gw (palestine) ga mati kok ga makan fast food.","https://twitter.com/jysoul93/status/1721391016203481154","0","23","1"
"@Irsyadhafizy","1721392562370703806","jangan terkecoh,, Amerika tengah mebujuk syetannyahu untuk gencatan senjata sementara, karena protes dunia terhadap 2 negara dalang GENOSIDA ini. tujuannya USA mau cari muka. hal tersebut persis dilakukan MD..","https://twitter.com/Irsyadhafizy/status/1721392562370703806","1","30","1"
"@diatius","1721407098230309306","Keuntungan buat negara amerika n israel dipakai untuk milter yang secara tdk langsung mesin pembunuh secara continue, untuk palestina hanya donasi percase, dimana nalarnya !","https://twitter.com/diatius/status/1721407098230309306","0","14","0"
